market,brand,quarter,access_score,growth_trend
DE,BrandA,2025Q1,0.65,0.05
DE,BrandA,2025Q2,0.68,0.04
DE,BrandB,2025Q1,0.55,0.02
DE,BrandB,2025Q2,0.57,0.03
FR,BrandA,2025Q1,0.60,0.01
FR,BrandA,2025Q2,0.62,0.02
FR,BrandB,2025Q1,0.52,-0.01
FR,BrandB,2025Q2,0.54,0.00
IT,BrandA,2025Q1,0.63,0.03
IT,BrandA,2025Q2,0.64,0.03
IT,BrandB,2025Q1,0.50,0.00
IT,BrandB,2025Q2,0.51,0.01
DE,BrandA,2025Q3,0.69,0.03
DE,BrandA,2025Q4,0.70,0.02
DE,BrandB,2025Q3,0.58,0.02
DE,BrandB,2025Q4,0.59,0.01
FR,BrandA,2025Q3,0.63,0.02
FR,BrandA,2025Q4,0.64,0.02
FR,BrandB,2025Q3,0.55,0.00
FR,BrandB,2025Q4,0.56,0.01
IT,BrandA,2025Q3,0.65,0.02
IT,BrandA,2025Q4,0.66,0.02
IT,BrandB,2025Q3,0.52,0.01
IT,BrandB,2025Q4,0.53,0.01
